,lat,lon,uid,aqi,station
0,55.843583,-4.037413,8670,5,"North Lanarkshire Kirkshaw, United Kingdom"
1,37.597456,116.756814,10361,160,"Ningjin Huining Lake, Ningjin County (宁津县宁津惠宁湖)"
2,27.700063,111.993497,7910,137,Loudi (娄底)
3,34.2324,108.94,1393,179,"Xiaozhai, Xian (西安小寨)"
4,32.475899,48.351582,10600,123,"Andimeshk, Khouzestan, Iran (اندیمشک خوزستان)"
5,40.77101,30.0077,8164,100,"Kocaeli Alikahya, Turkey"
6,51.6689355,4.541659,6337,30,"Klundert, Brabant"
7,60.46744,22.0284,4930,5,"Naantalin keskusta, Naantali, Finland"
8,22.855385,120.25221,12619,89,"Kao-ping/Taipower Wennan, Taiwan"
9,30.050259,50.166494,12766,60,"bandar deylam, Bushehr, Iran (بندر دیلم بوشهر)"
10,41.624766094649,32.356559978828,4117,87,"Bartin, Turkey"
11,44.658226,10.289367,9390,46,"Badia, Emilia Romagna, Italy"
12,45.753581276814,5.07230131917,3025,79," Saint Exupery, Est Lyonnais , France"
13,22.3717029,114.1144402,2567,66,"Tsuen Wan, HongKong (荃灣)"
14,34.797239,114.307582,1523,154,Kaifeng (开封)
15,29.6514,91.1319,1384,35,"Bakuo street, Lhasa (拉萨八廓街)"
16,39.1292,106.7096,4442,102,"Hongguozi Town Huixin Street, Shizuishan (石嘴山红果子镇惠新街)"
17,38.74444444,26.83166667,13952,28,"Yenifoça, Turkey"
18,36.914883,30.700425,4045,124,"Antalya, Turkey"
19,50.34960833,18.236575,6554,26,"K-Koźle, Poland"
20,43.931418,4.826857,14714,56,"Avignon Rocade CDG, PACA, France"
21,47.41908,0.68302,6581,28,"La Bruyère, Tours, France"
22,20.980478,105.974463,13684,-,"Hưng Yên/Nhà văn hóa xã Tân Quang - h.Văn Lâm, Vietnam"
23,32.0425,120.810833,846,91,"Zilang school, Nantong (南通紫琅学院)"
24,35.28385,113.5922,11008,164,"City committee communist party school, Xinxiang (新乡市委党校)"
25,22.51106,88.35142,12467,134,"Rabindra Sarobar, Kolkata, India"
26,30.281684,56.99575769522,10634,54,"Kerman-Edareh _Kol, Kerman, Iran (کرمان -هوانیروز کرمان كرمان)"
27,41.5647,120.4247,5200,163,"Bālǐ bǎo, Chaoyang , Chaoyang (朝阳八里堡)"
28,24.339,102.5381,14520,151,"文体中心, Yuxi (玉溪文体中心)"
29,29.328916,107.751833,9251,139,"Hibiscus Road, Chongqing (重庆芙蓉中路)"
30,43.3619145,-5.8493887,6706,153,"Purificación Tomás, Asturias, Spain"
31,52.493992,4.601986,5388,6,PNH Wijk aan Zee
32,59.21028,10.94535,12704,57,"St.Croix, Fredrikstad, Norway"
33,32.188333,119.680556,877,165,"New District Administrative office , Zhenjiang (镇江新区办事处)"
34,40.348103,27.97499,8142,25,"Balikesir Bandirma, Turkey"
35,43.139704,20.516353,12894,124,"Novi Pazar, Serbia"
36,52.447697,13.64705,10034,28,"Friedrichshagen, Berlin, Germany"
37,48.6337,1.83043,12762,30,"Rambouillet, Paris"
38,23.0467,113.144,792,78,"Nanhai Bureau of Meteorology, Foshan (佛山南海气象局)"
39,22.578889,111.342222,14218,76,"罗定罗光,  (云浮市罗定罗光)"
40,43.398731,6.075611,6901,35,"Brignoles, PACA, France"
41,45.1048,3.27754,8612,64,"Rageade (15), Rurale, Auvergne, France"
42,51.016280113364,2.5823227817466,3013,61,"Houtem (veurne), Belgium"
43,46.778333333333,15.540555555556,2914,63,"Lastenstraße 12, Volksschule, Austria"
44,45.873333332057,1.308,10075,26,"Le Palais-sur-Vienne, France"
45,37.89261041333,-4.7623381060863,8462,67,"Lepanto, Cordoba, Spain"
46,22.598902,114.313483,922,68,"Meisha, Shenzhen (盐田区 梅沙街道)"
47,31.114301,121.574951,10185,102,"Pudong Zhoupu, Shanghai (浦东周浦)"
48,24.3898,109.4883,3579,152,"Liudong Primary School, Liuzhou (柳州柳东小学)"
49,30.293697,57.08758,10598,67,"Moshtagh Sq, Kerman, Iran (کرمان -میدان مشتاق کرمان كرمان)"
