,lat,lon,uid,aqi,station
0,38.808055556,121.25888889,1264,163,"Lushun, Dalian (大连旅顺)"
1,47.660077777439,9.4856333332592,6157,67,"Friedrichshafen, Germany"
2,53.343628,-6.270197,13387,11,"Lord Edward Street, Dublin 2, Ireland"
3,64.142,-21.946,13581,23,"Portable Farstöð 1, Iceland"
4,28.68241,77.030469,10708,138,"Mundka, Delhi, Delhi, India"
5,35.206479,48.7212994,11233,86,"KabudRahang, Hamadan, Iran (کبودرآهنگ همدان)"
6,43.881437296938,10.244316772468,9434,-,"Viareggio, Viareggio, Italy"
7,52.374786,4.860319,7934,17,"Jan van Galenstraat, Amsterdam"
8,50.717,1.60591,14089,-,"Boulogne Diderot, Nord-Pas-de-Calais, France"
9,39.545879999473,2.69971,8269,-,"sant joan de déu, Baleares, Spain"
10,49.189620833333,16.569538055556,2778,56,"Brno-Vystaviste, Jihomoravsky, Czech Republic"
11,41.604166666667,-4.7288888888889,11814,1,"Renault II, Valladolid, Spain"
12,28.55386,112.35518,7907,93,Yiyang (益阳)
13,38.520089,102.188043,1576,50,Jinchang (金昌)
14,38.498056,27.067778,4073,13,"Izmir (Cigli), Turkey"
15,47.8382,1.945,6585,75,"La Source CNRS, Orléans, France"
16,49.14723148293,0.22722246831575,4594,55,"Lisieux Parc de evêchés, France"
17,51.569484331524,0.082907474896495,9041,5,"Redbridge - Ley Street, United Kingdom"
18,53.74878,-0.341222,3181,72,"Hull Freetown, United Kingdom"
19,34.79111111,117.2666667,540,102,"Xuecheng EPA, Zaozhuang (枣庄薛城区环保局)"
20,29.5634,103.757,5700,155,"City Monitoring Station, Leshan (乐山市监测站)"
21,28.2068,76.7997,12446,72,"Municipal Corporation Office, Dharuhera, India"
22,41.388931,33.778023,4127,54,"Kastamonu, Turkey"
23,49.451656388889,17.454158888889,2788,25,"Prerov, Olomoucky, Czech Republic"
24,45.49822794,9.55624181,9108,122,"Casirate d`Adda , Lombardia, Italy"
25,40.45499999947,-3.48417,8255,-,"torrejon de ardoz, Madrid, Spain"
26,55.874167,-4.294722,5999,12,"Glasgow Byres Road, United Kingdom"
27,28.2053,113.0792,1324,91,"Mapoling, Changsha (长沙马坡岭)"
28,34.6869,112.4831,4331,97,"Henan Forestry College, Luoyang (洛阳河南林校)"
29,29.564958,50.514648,10590,76,"Ganaveh, Bushehr, Iran (گناوه بوشهر)"
30,34.102338,49.7264243,10788,108,"Ostandary, Arak, Markazy, Iran (استانداری اراک مركزی)"
31,48.857276944444,17.131389722222,7991,42,"Hodonin, Jihomoravsky, Czech Republic"
32,59.749526,10.165301,13451,42,"Backeparken, Drammen, Norway"
33,22.90872,120.214103,12620,57,"Kao-ping/Taipower Wenshian, Taiwan"
34,29.62,106.5,9203,134,"Large bamboo forest, Chongqing (重庆大竹林)"
35,26.987634,94.636574,14696,78,"Girls College, Sivasagar, India"
36,26.9164092,75.7994901,11291,66,"Police Commissionerate, Jaipur, India"
37,40.417294,27.107311,4141,67,"Canakkale Biga Icdas, Turkey"
38,40.570555555556,-6.2225,11806,37,"El Maillo, Salamanca, Spain"
39,22.8371,112.9999,14392,97,"九江,  (佛山市九江)"
40,35.851391,115.507088,5796,160,"Environment protection office, Puyang (濮阳环保局)"
41,39.03431667,117.70715,704,172,"No.4 street, Tianjin (天津第四大街)"
42,28.376058,77.315741,12813,164,"Sector 11, Faridabad, India"
43,41.09552,28.78986,8152,115,"Istanbul Basaksehir, Turkey"
44,37.279635443733,-6.9380763558133,8469,29,"La Orden, Huelva, Spain"
45,43.3688221,-3.2156354,6665,35,"Castro Urdiales, Cantabria, Spain"
46,27.5578,109.9972,7815,142,"jiāncè lóu, Huaihua (怀化监测楼)"
47,42.09791,1.8482373,6671,20,"Berga, Catalunya, Spain"
48,49.165533332825,9.2247444444233,6160,63,"Heilbronn, Germany"
49,48.610363,7.781631,3818,26,"Nord, Strasbourg, Alsace, France"
50,59.433471,10.66176236,12697,23,"Kransen, Moss, Norway"
51,44.83383,-0.59853,14097,102,"Bordeaux Gautier, Aquitaine, France"
52,38.4519,112.7383,3536,59,"BDA, Xinzhou (忻州开发区)"
53,40.234436025786,29.038061364418,4139,54,"Bursa, Turkey"
54,21.031,106.5291,13674,7,"Hải Dương/Trạm Y tế Duy Tân - Kinh Môn, Vietnam"
55,32.9673,117.3536,7095,63,"Government Huaishang District, Bangbu (蚌埠淮上区政府)"
56,39.7905,30.5012,14811,54,"Tepebaşı, Turkey"
57,45.9657972,23.5575656,6830,24,"Str. M. Kogălniceanu, Sebeş, Romania"
58,45.95589,13.65702,13342,-,"NG Grčna, Slovenia"
59,49.957927777778,14.0583,2716,83,"Beroun, Stredocesky, Czech Republic"
60,35.280751,118.042186,10349,129,"Feixian Development Zone, Feixian (费县费县开发区)"
61,36.580556,116.248889,10389,158,"Luanping County Government, Luanping County (茌平县茌平县政府)"
62,38.14,114.502,646,163,"Northwest Water Company, Shijiazhuang (石家庄市西北水源)"
