,lat,lon,uid,aqi,station
0,43.62530339,1.377245933,3830,85,"Blagnac Aéroport Côté Pistes, France"
1,37.604871,-0.91404535437236,5185,25,"Alumbres Valle Escombreras, Murcia, Spain"
2,22.818963,112.800431,14277,117,"高明杨和,  (佛山市高明杨和)"
3,31.038611111111,112.22111111111,6958,112,"shíhuà yī xiǎo, Jingmen, Hubei (荆门石化一小)"
4,50.706544444444,3.1806611810675,6251,-,"Roubaix Serres, Nord-Pas-de-Calais, France"
5,32.064336,34.772514,8894,77,"Mobile stations 4, Israel (ישראל,ניידת4, תחנות ניידות)"
6,65.04338,25.4979,4917,24,"Pyykösjärvi, Oulu, Finland"
7,46.2575057,26.7908625,4166,23,"Str. Cauciucului, Oneşti, Romania"
8,51.016280113364,2.5823227817466,3013,72,"Houtem (veurne), Belgium"
9,37.648,115.65,9778,165,"Binhu New District Management Committee, Hengshui (衡水市滨湖新区管委会)"
10,43.925395,4.265812,8569,70,"Périphérie de Nîmes, LangedocRoussillon, France"
11,28.5898,77.3101,12466,67,"Sector-1, Noida, India"
12,42.448087,19.240889,12630,101,"Podgorica UB, Montenegro"
13,51.79972222,16.3175,6557,46,"Wschowa, Poland"
14,50.8503396,4.3517103,5765,78,Brussels
15,50.748224095134,2.2597804944215,6250,-,"Saint-omer, Nord-Pas-de-Calais, France"
16,53.036124999831,-7.2886750003803,13399,31,"Portlaoise, Co. Laois, Ireland"
17,27.8403,112.9118,1425,85,"City Monitoring Station, Xiangtan (湘潭市监测站)"
18,29.356178,105.896872,9220,139,"North Hill Road, Chongqing (重庆北山路)"
19,54.641963,-5.837939,6344,-,"North Down Holywood A2, United Kingdom"
20,41.193604,1.2367008,14197,29,"Perafort, Catalunya, Spain"
21,51.754613,19.434925,9038,39,"Łódź-Jana Pawła II 15, Poland"
22,35.71751,51.385909,7724,73,"Tarbiyat Modares University, Tehran, Iran"
23,43.545905555556,16.467836111111,5751,2,"Ams2 Sveti Kajo, Croatia"
24,45.49822794,9.55624181,9108,122,"Casirate d`Adda , Lombardia, Italy"
25,51.196063270731,3.8229200471859,3015,72,"Zelzate, Belgium"
26,31.22967,121.47616,10187,129,"People's Square, Shanghai (人民广场)"
27,25.5364,103.8,4434,122,"Tobacco Factory office, Qujing (曲靖烟厂办公区)"
28,39.322,116.504,9725,99,"Yongqing County Party Committee Office Building, Langfang (廊坊市永清县委办公楼)"
29,39.9,118.899,5614,80,"Lulong County Meteorological Bureau, Qinhuangdao (秦皇岛市卢龙县气象局)"
30,27.5578,109.9972,7815,142,"jiāncè lóu, Huaihua (怀化监测楼)"
31,43.770585907976,11.271415330415,9438,-,"Gramsci, Firenze, Italy"
32,27.8159,112.9227,1427,91,"Yuè táng, Xiangtan (湘潭岳塘)"
33,38.422,115.823,5673,160,"Suning County Government, Cangzhou (沧州市肃宁县政府)"
34,35.26194444,115.5191667,638,107,"Huarun Pharmaceutical Company, Heze (菏泽华润制药)"
35,27.569517,110.001923,7904,142,Huaihua (怀化)
36,39.795454,44.625607,8750,113,"Aralik, Turkey"
37,44.800461732357,-0.589397901038,5055,87,"Talence, Aquitaine, France"
38,43.405399,-7.988619,14186,30,"Fraga Redonda, Galicia, Spain"
39,22.2281,113.299,784,77,"Dòumén, Zhuhai (珠海斗门)"
40,25.062361,121.526528,1597,34,"Zhongshan, Taiwan (中山)"
41,30.691967,111.286471,1530,82,Yichang (宜昌)
42,19.8389439,75.244448,9146,77,"More Chowk, Waluj, Aurangabad, India"
43,28.68241,77.030469,10708,138,"Mundka, Delhi, Delhi, India"
44,41.051663093475,28.867944221877,14843,27,"Mobil 2, Turkey"
45,41.251123,29.038281,9561,96,"Kumkoy, Turkey"
46,50.081197,19.895358,8691,80,"Kraków, ul. Złoty Róg, Małopolska, Poland"
47,24.810403,113.597522,1538,89,Shaoguan (韶关)
48,32.6319,116.8306,7101,58,"Bagongshan District Government, Huainan (淮南八公山区政府)"
49,50.82881,-1.068583,3204,39,"Portsmouth, United Kingdom"
50,51.464113541162,-0.11458102695123,14614,49,"Lambeth - Brixton Road, United Kingdom"
51,24.484653749994,54.364735330707,3768,60,"Khadija Primary School, Abu Dhabi City, UAE"
52,36.2974,59.6632,11600,129,"Avini, Mashhad, Khorasan  Razavi, Iran (آوینی مشهد خراسان رضوی)"
53,44.858650449185,20.649101436138,8763,80,"Pančevo Vatrogasni dom, Serbia"
54,45.16329,5.53294,14709,57,"Vercors Rural, France"
55,38.114666,-1.8687320609099,9030,21,"Caravaca Norte, Murcia, Spain"
56,22.648548,114.208946,929,65,"Henggang, Shenzhen (龙岗区 横岗街道)"
57,41.0831,123.0156,4350,167,"Míngdá district, Anshan (鞍山明达新区)"
58,38.042307,114.51486,1454,183,Shijiazhuang (石家庄)
59,22.9169,112.0392,9857,91,"xīnshì fǔ, Yunfu (云浮新市府)"
60,39.41196,30.00848,13936,8,"Heymeana Cad., Turkey"
61,41.387486,2.1151497,10532,26,"Barcelona (Palau Reial), Catalunya, Spain"
62,52.14325,19.233225,6482,28,"Gajew, gm. Witonia, Poland"
63,22.60666,114.13916,14439,89,"南湾子站, Shenzhen (龙岗区 南湾街道)"
64,36.686,114.263,4651,147,"Wu'an Gaokai District, Handan (邯郸市武安高开区)"
65,60.31439,24.68486,4907,28,"Luukki, Espoo, Finland"
66,49.293564,19.960083,3405,31,"Zakopane, Małopolska, Poland"
67,48.187146944444,16.339331111111,2857,55,"Umspannwerk Gaudenzdorfer Gürtel, Austria"
68,52.393888888889,13.037777777778,6199,32,"Potsdam, Zeppelinstr. v, Germany"
69,43.224389,27.915733,10577,-,"Varna - SOU Angel Kanchev, Bulgaria"
70,54.9142482,24.0221896,3322,29,"Kaunas Petrašiūnai, Lithuania"
71,35.669821,51.389934,10642,88,"Razi, Tehran (پارک رازی  تهران)"
72,32.81188,34.99718,10734,78,"Hadar - The Caravan House - Haifa and Krayot, Israel (ישראל,הדר-בית הקרונות, חיפה וקריות)"
73,36.892355419455,30.733422748543,14801,72,"Muratpaşa, Turkey"
