,lat,lon,uid,aqi,station
0,29.6039,115.9114,3651,76,"Zonghe Industrial Park, Jiujiang (九江综合工业园)"
1,32.84673,59.224007,10615,42,"Birjand, Khorasan Jonoubi, Iran (بیرجند- اداره کل  بیرجند خراسان جنوبی)"
2,35.703412,52.055955,13513,73,"Damavand, damavand, Tehran, Iran (دماوند تهران)"
3,49.768615833333,13.423380833333,2736,29,"Plzen-Doubravka, Plzensky, Czech Republic"
4,57.639926873587,18.309721357086,13989,4,"Visby Brömsebroväg 8, Sweden"
5,28.031551812346,-15.409145562036,10882,13,"Nestor Alamo, Canarias, Spain"
6,44.419261,12.225385,9413,78,"Caorle, Emilia Romagna, Italy"
7,48.578177777396,7.802272222307,6162,74,"Kehl, Germany"
8,42.079722222222,-5.4488888888889,14201,24,"Valderas, León, Spain"
9,59.89882251,10.57586119,14665,45,"E18 Hovik kirke, Barum, Norway"
10,21.069974,106.556375,13445,-,"Quảng Ninh/Nhuệ Hổ - Đông Triều, Vietnam"
11,24.92975,121.378478,12588,44,"North/New Taipei City/Sanxia, Taiwan"
12,26.6272,118.1756,7172,68,"nánpíng qī zhōng, Nanping (南平南平七中)"
13,24.4335,98.589,14523,155,"芒市人民政府综合楼, Dehong (德宏州芒市人民政府综合楼)"
14,43.927406,12.224794,9381,27,"Savignano Di Rigo, Emilia Romagna, Italy"
15,43.530285,5.440912,6890,93,"Aix Centre Ecole Art, PACA, France"
16,49.608647,19.966008,14681,29,"Rabka-Zdrój, Małopolska, Poland"
17,43.788748,7.332382,6897,26,"Contes, PACA, France"
18,22.4509766,114.1641396,2565,66,"Tai Po, HongKong (大埔)"
19,23.0103,113.3739,14504,111,"番禺南村, Guangzhou (广州番禺南村)"
20,37.881,114.651,9650,151,"Yucheng Sixth Middle School, Shijiazhuang (石家庄市栾城六中)"
21,40.3118,116.6018,13332,76,"怀柔新城, Beijing"
22,29.6453,106.562,1358,127,"Lijia, Chongqing (重庆礼嘉)"
23,28.88528,78.7388,13717,107,"Employment Office, Moradabad, India"
24,32.024722,34.911755,9988,112,"Bnei Atarot - inner lowlands, Israel (ישראל,בני עטרות, שפלה פנימית)"
25,49.3042982,10.5742821,6056,28,"Residenzstraße, Ansbach, Germany"
26,49.110146581092,6.2232436317419,6360,13,"Borny, Metz-Est, France"
27,51.547469,5.838202,5279,15,"Blaarpeelweg, De Rips"
28,34.770793,113.655201,10972,147,"No. 47 middle school, Shì xiáqū, Zhengzhou (郑州市辖区四十七中)"
29,38.487194,106.230909,1578,44,Yinchuan (银川)
30,39.973704,32.823266,14797,38,"Etlik, Turkey"
31,43.56158117,1.393260062,3833,92,"Toulouse Eisenhower, France"
32,43.041111111111,-5.090555555556,10813,29,"Lario, León, Spain"
33,46.6607,-1.43681,5002,69,"Delacroix, La Roche-sur-Yon, Loire, France"
34,22.8362,114.9841,14471,66,"深汕管委会, Shenzhen (深汕合作区 鹅埠镇)"
35,35.7896639,51.4733361,10793,100,"Pasdaran, Tehran (پاسداران تهران)"
36,41.04592,14.37809,10938,-,"Scuola Settembrini, Maddaloni, Campania, Italy"
37,45.458125,16.388355555556,5159,130,"Sisak-1, Croatia"
38,50.010833333333,8.4525,10849,44,"Raunheim, Germany"
39,50.670030555555,3.076561052228,8613,-,"Marcq-en-Baroeul, Nord-Pas-de-Calais, France"
40,37.340751482315,-6.0424588901852,8494,38,"Aljarafe, Mairena Del Aljarafe, Spain"
41,25.036235,121.572367,12420,38,"North/Taipei City/Sinyi, Taiwan"
42,36.6848,118.8779,10287,157,"chāng lè wǔ tú, Changle County (昌乐县昌乐五图)"
43,39.384055,117.04264,7975,72,"YongYang Xidao, Tianjin (天津雍阳西道)"
44,26.181742,91.78063,11844,163,"Railway Colony, Guwahati, India"
45,25.6103665,85.1327137,8674,97,"IGSC Planetarium Complex, Patna, India"
46,52.509813,13.382377,13852,34,"Leipziger Straße, Berlin, Germany"
47,42.8263259,-1.6586499,14202,-,"Pamplona - Rotxapea, Navarra, Spain"
48,21.2706,110.3539,4263,78,"Zhanjiang Theatre, Zhanjiang (湛江湛江影剧院)"
49,23.559154,113.146471,14292,144,"清城银盏,  (清远市清城银盏)"
50,37.943123,115.218021,5194,160,Xinji (辛集)
51,46.1580215,24.3344084,4187,18,"Str. Gării, Mediaş, Romania"
52,47.215703,15.628392,8726,53,"Bahnhofstraße 7, Austria"
53,26.9089,112.5328,7817,102,"yuán 169 yīyuàn, Hengyang (衡阳原169医院)"
54,32.108333,118.803056,825,72,"Mài gāo qiáo, Nanjing (南京迈皋桥)"
55,32.087778,118.625556,831,65," Pǔkǒu, Nanjing (南京浦口)"
56,40.37,116.832,467,42,"The town of Miyun, Beijing (密云镇)"
57,30.1506,104.6356,5707,80,"Ziyang middle school, Ziyang (资阳资阳中学)"
58,25.0328,85.41948,13810,89,"Dangi Tola, Rajgir, India"
59,46.5338813,24.5356711,6865,-,"Str. Libertăţii, Târgu Mureş, Romania"
60,53.0559625,9.2084296,6210,21,"Wesermündung, Germany"
61,23.045083,121.161933,1660,39,"Guanshan, Taiwan (關山)"
62,35.87699,117.686348,10328,155,"Xinwenzi Station, Xintai City (新泰市新汶子站)"
63,40.715,120.8478,5228,176,"Xīnqū, Huludao (葫芦岛新区)"
64,35.641075,51.4799639,10654,141,"Region, Tehran (منطقه 15 تهران)"
65,44.500093,11.286065,9402,38,"Via Chiarini, Emilia Romagna, Italy"
66,47.21037,14.825277777778,2905,29,"Parkstraße, Pestalozzistraße, Austria"
67,50.407810201606,4.3958971174705,2999,76,"Marchienne-au-pont, Belgium"
68,51.592208,7.569761,6104,16,"Lünen-Niederaden, Germany"
69,24.250509,120.539089,12598,61,"Central/Taipower Wuchi, Taiwan"
70,23.462,115.5754,14220,97,"丰顺八乡山,  (梅州市丰顺八乡山)"
71,31.1654,121.412,487,122,"xúhuì shàng shī dà, Shanghai (徐汇上师大)"
72,31.727222222222,113.35861111111,6329,82,"City committee communist party school, Suizhou, Hubei (随州市委党校)"
73,44.229397,12.08916,11830,61,"Hera, Emilia Romagna, Italy"
74,48.2013,15.6204,2861,74,"Europaplatz, Austria"
75,48.172647505072,6.4528136436438,6384,51,"Epinal, Vallée de la Moyenne Moselle, France"
76,55.983925,-3.455939,6027,6,"West Lothian Newton, United Kingdom"
77,23.2672,113.2181,14487,99,"白云江高, Guangzhou (广州白云江高)"
78,28.68241,77.030469,10708,138,"Mundka, Delhi, Delhi, India"
79,35.152775,47.797134,10645,119,"Qorveh, Gorveh, Kordestan, Iran (قروه  قروه كردستان)"
80,39.366386409731,22.94306374023,12833,-,"Volos, Greece"
